time_s,global_margin_m,collision_flag,candidate_pairs,tested_pairs,circle_rejected_pairs
0.0,1.692786709729e-01,0,,1027,23504
0.5,1.686781313630e-01,0,,1030,23501
1.0,1.681779295018e-01,0,,1031,23500
1.5,1.677783919448e-01,0,,1033,23498
2.0,1.674798454342e-01,0,,1032,23499
2.5,1.672826168936e-01,0,,1033,23498
3.0,1.671870334152e-01,0,,1039,23492
3.5,1.671934222540e-01,0,,1037,23494
4.0,1.673021108175e-01,0,,1027,23504
4.5,1.675134266572e-01,0,,1036,23495
5.0,1.678276974591e-01,0,,1030,23501
5.5,1.677192915016e-01,0,,1028,23503
6.0,1.673859754432e-01,0,,1034,23497
6.5,1.671543709225e-01,0,,1031,23500
7.0,1.670248076071e-01,0,,1032,23499
7.5,1.669976153339e-01,0,,1032,23499
8.0,1.670731240949e-01,0,,1036,23495
8.5,1.672516640317e-01,0,,1038,23493
9.0,1.675335654255e-01,0,,1027,23504
9.5,1.679191586872e-01,0,,1036,23495
10.0,1.684087743486e-01,0,,1038,23493
10.5,1.690027430519e-01,0,,1025,23506
11.0,1.697013955409e-01,0,,1036,23495
11.5,1.705050626506e-01,0,,1030,23501
12.0,1.714140752972e-01,0,,1032,23499
12.5,1.724287644676e-01,0,,1030,23501
13.0,1.735494612117e-01,0,,1036,23495
13.5,1.747764966274e-01,0,,1037,23494
14.0,1.761102018544e-01,0,,1027,23504
14.5,1.775509080613e-01,0,,1036,23495
15.0,1.790989464351e-01,0,,1041,23490
15.5,1.807546481710e-01,0,,1029,23502
16.0,1.825183444612e-01,0,,1039,23492
16.5,1.843887477810e-01,0,,1032,23499
17.0,1.843409286283e-01,0,,1033,23498
17.5,1.842948106615e-01,0,,1034,23497
18.0,1.843511212423e-01,0,,1038,23493
18.5,1.843753451201e-01,0,,1040,23491
19.0,1.842980391240e-01,0,,1035,23496
19.5,1.843230600986e-01,0,,1041,23490
20.0,1.828903098933e-01,0,,1042,23489
20.5,1.809742535505e-01,0,,1033,23498
21.0,1.791632850036e-01,0,,1044,23487
21.5,1.774577792080e-01,0,,1037,23494
22.0,1.758581114724e-01,0,,1041,23490
22.5,1.743646574487e-01,0,,1041,23490
23.0,1.729777931271e-01,0,,1042,23489
23.5,1.716978948208e-01,0,,1043,23488
24.0,1.705253391585e-01,0,,1039,23492
24.5,1.694605030754e-01,0,,1042,23489
25.0,1.685037638017e-01,0,,1044,23487
25.5,1.676554988528e-01,0,,1033,23498
26.0,1.669160860184e-01,0,,1041,23490
26.5,1.662859033527e-01,0,,1041,23490
27.0,1.657653291635e-01,0,,1033,23498
27.5,1.653547419995e-01,0,,1043,23488
28.0,1.650545206438e-01,0,,1039,23492
28.5,1.648650440969e-01,0,,1043,23488
29.0,1.647866915696e-01,0,,1039,23492
29.5,1.648198424699e-01,0,,1043,23488
30.0,1.649648763916e-01,0,,1047,23484
30.5,1.652221731021e-01,0,,1035,23496
31.0,1.655921125310e-01,0,,1044,23487
31.5,1.652449268972e-01,0,,1047,23484
32.0,1.649187598857e-01,0,,1039,23492
32.5,1.647038158317e-01,0,,1049,23482
33.0,1.646004770260e-01,0,,1040,23491
33.5,1.646091259595e-01,0,,1044,23487
34.0,1.647301453150e-01,0,,1043,23488
34.5,1.649639179536e-01,0,,1046,23485
35.0,1.653108269035e-01,0,,1051,23480
35.5,1.657712553468e-01,0,,1042,23489
36.0,1.663455866076e-01,0,,1049,23482
36.5,1.670342041398e-01,0,,1049,23482
37.0,1.678374915122e-01,0,,1043,23488
37.5,1.687558323998e-01,0,,1050,23481
38.0,1.697896105654e-01,0,,1042,23489
38.5,1.709392098494e-01,0,,1047,23484
39.0,1.722050141565e-01,0,,1048,23483
39.5,1.735874074401e-01,0,,1050,23481
40.0,1.750867736899e-01,0,,1050,23481
40.5,1.767034969180e-01,0,,1049,23482
41.0,1.784379611426e-01,0,,1051,23480
41.5,1.802905503765e-01,0,,1053,23478
42.0,1.822616486086e-01,0,,1048,23483
42.5,1.825141175692e-01,0,,1054,23477
43.0,1.823896613151e-01,0,,1048,23483
43.5,1.823768753045e-01,0,,1049,23482
44.0,1.824761406379e-01,0,,1055,23476
44.5,1.824158503881e-01,0,,1051,23480
45.0,1.823689123066e-01,0,,1053,23478
45.5,1.803555853850e-01,0,,1052,23479
46.0,1.783531784208e-01,0,,1052,23479
46.5,1.764658216064e-01,0,,1054,23477
47.0,1.746939515048e-01,0,,1048,23483
47.5,1.730380051178e-01,0,,1056,23475
48.0,1.714984198746e-01,0,,1054,23477
48.5,1.700756336211e-01,0,,1049,23482
49.0,1.687700846047e-01,0,,1057,23474
49.5,1.675822114634e-01,0,,1050,23481
50.0,1.665124532106e-01,0,,1051,23480
50.5,1.655612492233e-01,0,,1049,23482
51.0,1.647290392277e-01,0,,1050,23481
51.5,1.640162632866e-01,0,,1051,23480
52.0,1.634233617836e-01,0,,1047,23484
52.5,1.629507754106e-01,0,,1050,23481
53.0,1.625989451517e-01,0,,1052,23479
