node,time_s,k,bracket_s
7,14.794330327614018,1.6161478322419565,"[14.779999999999983, 14.799999999999983]"
6,14.794330327665005,1.6161478322419562,"[14.779999999999983, 14.799999999999983]"
3,14.794330327716045,1.616147832241956,"[14.779999999999983, 14.799999999999983]"
5,14.79433032757577,1.6161478322419556,"[14.779999999999983, 14.799999999999983]"
4,14.794330327677773,1.6161478322419551,"[14.779999999999983, 14.799999999999983]"
8,14.8003049472466,1.6008468949333985,"[14.789999999999983, 14.809999999999983]"
9,14.800304424216925,1.6007407990194602,"[14.789999999999983, 14.809999999999983]"
10,14.800303918172352,1.6006371745009667,"[14.789999999999983, 14.809999999999983]"
11,14.8003034306227,1.6005359358657096,"[14.789999999999983, 14.809999999999983]"
12,14.800302959836985,1.6004370015067306,"[14.789999999999983, 14.809999999999983]"
13,14.800302503866915,1.6003402935017015,"[14.789999999999983, 14.809999999999983]"
14,14.80030206331091,1.6002457374070485,"[14.789999999999983, 14.809999999999983]"
15,14.800301637070353,1.60015326206578,"[14.789999999999983, 14.809999999999983]"
16,14.80030122491041,1.6000627994279037,"[14.789999999999983, 14.809999999999983]"
17,14.80030082654654,1.5999742843825124,"[14.789999999999983, 14.809999999999983]"
18,14.800300440349911,1.599887654600651,"[14.789999999999983, 14.809999999999983]"
19,14.800300066066502,1.599802850388167,"[14.789999999999983, 14.809999999999983]"
20,14.800299703989989,1.5997198145477862,"[14.789999999999983, 14.809999999999983]"
21,14.800299352370311,1.599638492249825,"[14.789999999999983, 14.809999999999983]"
22,14.800299012041943,1.5995588309107855,"[14.789999999999983, 14.809999999999983]"
23,14.800298681732967,1.5994807800794397,"[14.789999999999983, 14.809999999999983]"
24,14.80029836114274,1.5994042913296769,"[14.789999999999983, 14.809999999999983]"
25,14.800298049615582,1.5993293181598582,"[14.789999999999983, 14.809999999999983]"
26,14.800297747961842,1.599255815898045,"[14.789999999999983, 14.809999999999983]"
27,14.80029745431957,1.59918374161281,"[14.789999999999983, 14.809999999999983]"
28,14.800297169767639,1.599113054029216,"[14.789999999999983, 14.809999999999983]"
29,14.8002968933742,1.599043713449602,"[14.789999999999983, 14.809999999999983]"
30,14.800296624714369,1.5989756816789116,"[14.789999999999983, 14.809999999999983]"
31,14.800296363668089,1.5989089219541732,"[14.789999999999983, 14.809999999999983]"
32,14.800296109430478,1.598843398877975,"[14.789999999999983, 14.809999999999983]"
33,14.800295861208516,1.5987790783555742,"[14.789999999999983, 14.809999999999983]"
34,14.800295621367736,1.5987159275354652,"[14.789999999999983, 14.809999999999983]"
35,14.80029538675009,1.598653914753196,"[14.789999999999983, 14.809999999999983]"
36,14.800295159163205,1.5985930094781673,"[14.789999999999983, 14.809999999999983]"
37,14.800294937888701,1.5985331822633009,"[14.789999999999983, 14.809999999999983]"
38,14.800294721602619,1.5984744046973416,"[14.789999999999983, 14.809999999999983]"
39,14.800294511971881,1.5984166493597112,"[14.789999999999983, 14.809999999999983]"
40,14.800294306811981,1.598359889777603,"[14.789999999999983, 14.809999999999983]"
41,14.800294106901015,1.5983041003854217,"[14.789999999999983, 14.809999999999983]"
42,14.800293911795682,1.5982492564861612,"[14.789999999999983, 14.809999999999983]"
43,14.800293722526703,1.598195334214842,"[14.789999999999983, 14.809999999999983]"
44,14.800293537669061,1.5981423105037127,"[14.789999999999983, 14.809999999999983]"
45,14.800293357005536,1.598090163049221,"[14.789999999999983, 14.809999999999983]"
46,14.800293181177757,1.5980388702805992,"[14.789999999999983, 14.809999999999983]"
47,14.80029300915908,1.5979884113299994,"[14.789999999999983, 14.809999999999983]"
48,14.800292841633109,1.5979387660040612,"[14.789999999999983, 14.809999999999983]"
49,14.80029267828998,1.5978899147568661,"[14.789999999999983, 14.809999999999983]"
50,14.800292517852625,1.5978418386641755,"[14.789999999999983, 14.809999999999983]"
51,14.800292361934986,1.597794519398884,"[14.789999999999983, 14.809999999999983]"
52,14.800292209800066,1.5977479392076492,"[14.789999999999983, 14.809999999999983]"
53,14.80029206100978,1.597702080888581,"[14.789999999999983, 14.809999999999983]"
54,14.80029191501114,1.597656927769992,"[14.789999999999983, 14.809999999999983]"
55,14.800291772849478,1.5976124636901003,"[14.789999999999983, 14.809999999999983]"
56,14.800291633833194,1.5975686729776788,"[14.789999999999983, 14.809999999999983]"
57,14.800291498100668,1.5975255404335689,"[14.789999999999983, 14.809999999999983]"
58,14.800291365232903,1.5974830513130196,"[14.789999999999983, 14.809999999999983]"
59,14.800291235819413,1.597441191308829,"[14.789999999999983, 14.809999999999983]"
60,14.800291109300039,1.5973999465352107,"[14.789999999999983, 14.809999999999983]"
