time_s,global_margin_m,collision_flag,witness_pair,minimum_speed_denominator,max_handle_speed_m_per_s
-100,0.0311191661965,0,1-25,1.63395718963,1
-99,0.0320104701332,0,1-25,1.63389113053,1
-98,0.0338050689335,0,1-25,1.63382452524,1
-97,0.0365131951695,0,1-25,1.63375736696,1
-96,0.0401450903188,0,1-25,1.63368964878,1
-95,0.0447110007286,0,1-25,1.63362136366,1
-94,0.0502211733943,0,1-25,1.63355250446,1
-93,0.0554772777149,0,5-29,1.63348306391,1
-92,0.055304749206,0,6-30,1.63341303461,1
-91,0.0555123125816,0,7-31,1.63334240905,1
-90,0.0505539830485,0,1-22,1.63327117959,1
-89,0.0442356149506,0,1-22,1.63319933843,1
-88,0.0388485375718,0,1-22,1.63312687767,1
-87,0.0344051294426,0,1-22,1.63305378927,1
-86,0.0309178165007,0,1-22,1.63298006503,1
-85,0.0283990680523,0,1-22,1.63290569662,1
-84,0.0268613925109,0,1-22,1.63283067556,1
-83,0.0263173329038,0,1-22,1.63275499322,1
-82,0.0267794621376,0,1-22,1.63267864083,1
-81,0.0272551841042,0,1-24,1.63260160944,1
-80,0.0261369990074,0,1-24,1.63252388997,1
-79,0.0260246698283,0,1-24,1.63244547314,1
-78,0.0269309154298,0,1-24,1.63236634954,1
-77,0.0288684776504,0,1-24,1.63228650957,1
-76,0.0318501158478,0,1-24,1.63220594345,1
-75,0.0358886011613,0,1-24,1.63212464124,1
-74,0.0409967104827,0,1-24,1.6320425928,1
-73,0.0471872201227,0,1-24,1.63195978782,1
-72,0.0513032733893,0,5-28,1.63187621578,1
-71,0.0511836602059,0,6-29,1.63179186597,1
-70,0.0502732458215,0,1-21,1.6317067275,1
-69,0.0428235864021,0,1-21,1.63162078925,1
-68,0.036431765525,0,1-21,1.6315340399,1
-67,0.0311133218891,0,1-21,1.63144646791,1
-66,0.0268838637601,0,1-21,1.63135806154,1
-65,0.0237590630927,0,1-21,1.63126880879,1
-64,0.0217546492936,0,1-21,1.63117869746,1
-63,0.0208864026067,0,1-21,1.6310877151,1
-62,0.0211701471065,0,1-21,1.63099584903,1
-61,0.0222343586027,0,1-23,1.63090308631,1
-60,0.0207815995234,0,1-23,1.63080941374,1
-59,0.0204808782939,0,1-23,1.63071481789,1
-58,0.021348211086,0,1-23,1.63061928503,1
-57,0.0233996470818,0,1-23,1.63052280117,1
-56,0.0266512602642,0,1-23,1.63042535206,1
-55,0.0311191407411,0,1-23,1.63032692313,1
-54,0.0368193855861,0,1-23,1.63022749953,1
-53,0.0437680891709,0,1-23,1.63012706611,1
-52,0.0467417806909,0,5-27,1.63002560742,1
-51,0.0467235878806,0,6-28,1.62992310767,1
-50,0.0422584949478,0,1-20,1.62981955077,1
-49,0.0345929028343,0,1-20,1.62971492027,1
-48,0.0281536879561,0,1-20,1.6296091994,1
-47,0.0229606621775,0,1-20,1.62950237103,1
-46,0.0190337330683,0,1-20,1.62939441767,1
-45,0.0163928946677,0,1-20,1.62928532146,1
-44,0.0150582176255,0,1-20,1.62917506416,1
-43,0.015049838691,0,1-20,1.62906362713,1
-42,0.0163879495176,0,1-20,1.62895099135,1
-41,0.0150473415367,0,1-22,1.62883713738,1
-40,0.0144495054859,0,1-22,1.62872204533,1
-39,0.0151989874425,0,1-22,1.62860569493,1
-38,0.0173162296935,0,1-22,1.62848806542,1
-37,0.0208217108949,0,1-22,1.62836913559,1
-36,0.0257359327275,0,1-22,1.62824888378,1
-35,0.0320794057269,0,1-22,1.62812728782,1
-34,0.0398726342507,0,1-22,1.62800432505,1
-33,0.0417602491891,0,5-26,1.62787997231,1
-32,0.0419121225463,0,6-27,1.62775420589,1
-31,0.0336769818818,0,1-19,1.62762700157,1
-30,0.0257951653994,0,1-19,1.62749833454,1
-29,0.0193463581437,0,1-19,1.62736817944,1
-28,0.0143561415307,0,1-19,1.62723651031,1
-27,0.0108502304948,0,1-19,1.62710330058,1
-26,0.00885445861001,0,1-19,1.62696852307,1
-25,0.00839476210451,0,1-19,1.62683214994,1
-24,0.00949716270892,0,1-19,1.6266941527,1
-23,0.0089499935153,0,1-21,1.62655450216,1
-22,0.0079030071,0,1-21,1.62641316845,1
-21,0.00841987889818,0,1-21,1.62627012095,1
-20,0.0105269688878,0,1-21,1.62612532833,1
-19,0.0142506925293,0,1-21,1.62597875845,1
-18,0.0196174998572,0,1-21,1.62583037841,1
-17,0.0266538531354,0,1-21,1.62568015446,1
-16,0.0353862030007,0,1-21,1.62552805205,1
-15,0.0363378860159,0,5-25,1.62537403572,1
-14,0.0341941388343,0,1-18,1.62521806912,1
-13,0.024445160821,0,1-18,1.62506011501,1
-12,0.0163521344995,0,1-18,1.62490013515,1
-11,0.00994834666517,0,1-18,1.62473809033,1
-10,0.00526729590163,0,1-18,1.62457394033,1
-9,0.00234266985722,0,1-18,1.62440764387,1
-8,0.00120832060244,0,1-18,1.62423915859,1
-7,0.00189823795396,0,1-18,1.62406844101,1
-6,0.00254604256527,0,1-20,1.62389544647,1
-5,0.000836605985639,0,1-20,1.62372012914,1
-4,0.000954575617906,0,1-20,1.62354244194,1
-3,0.00293440632594,0,1-20,1.62336233651,1
-2,0.00681064132337,0,1-20,1.62317976315,1
-1,0.0126178787689,0,1-20,1.62299467083,1
0,0.0203907357922,0,1-20,1.62280700705,1
1,0.0265125265669,0,1-20,1.6226197892,1
2,0.0287625954691,0,1-20,1.622433455,1
3,0.0306625566777,0,5-24,1.62223816944,1
4,0.0303698827551,0,6-25,1.61038453396,1
5,0.0308875461684,0,7-26,1.58639947949,1
6,0.0304104379151,0,7-26,1.58639947949,1
7,0.0305336665005,0,8-27,1.58639947949,1
8,0.0306473813995,0,8-27,1.58639947949,1
9,0.0303725736964,0,9-28,1.58639947949,1
10,0.0308309932138,0,10-29,1.58639947949,1.08470104101
11,0.0303988541976,0,10-29,1.58639947949,1
12,0.0309736412372,0,11-30,1.58639947949,1
13,-0.062089698425,1,1-15,1.15832513013,1
14,-0.276555420292,1,1-16,0.864599644579,1.00643749698
15,-0.286986599527,1,1-18,1.37809768671,1.53620936049
16,-0.21742742826,1,1-19,1.37809768671,1.2439344284
17,-0.244793911063,1,2-19,1.37809768671,1.02583460768
18,-0.222363405503,1,1-22,1.37809768671,1.05743733066
19,-0.24143128892,1,3-20,1.37809768671,1.07987703388
20,-0.249129570815,1,4-20,1.37809768671,1.02141307738
21,-0.178138010104,1,4-22,1.37809768671,1.11880383711
22,-0.248123122925,1,5-22,1.37809768671,1.0317679814
23,-0.230262906497,1,6-22,1.37809768671,1.055145395
