time_s,handle_index,paper_label,x_m,y_m,vx_m_per_s,vy_m_per_s,speed_m_per_s
-100,0,龙头前把手,5.665703054,1.582467848,0.257239168,-0.966347769,1.000000000
-100,1,龙头后第1节,4.281431977,4.085145132,0.681418597,-0.731727301,0.999878066
-100,51,龙头后第51节,2.757570174,6.268247934,0.910201177,-0.411861532,0.999047598
-100,101,龙头后第101节,7.664592803,-0.133296337,-0.026710887,-0.998197489,0.998554805
-100,151,龙头后第151节,-5.588804073,-6.276383306,-0.739810346,0.670179621,0.998228467
-100,201,龙头后第201节,5.869102313,6.931242870,0.756508406,-0.650916170,0.997996407
-100,223,龙尾后把手,0.901773903,-9.321655245,-0.993984543,-0.088473800,0.997914267
-50,0,龙头前把手,-3.989318492,-3.392999324,-0.637378591,0.770550798,1.000000000
-50,1,龙头后第1节,-1.635067591,-5.016915176,-0.946290554,0.322709694,0.999803660
-50,51,龙头后第51节,6.227110833,-0.974238228,-0.165573828,-0.984743978,0.998566670
-50,101,龙头后第101节,6.447208595,-3.167362897,-0.448941940,-0.891213803,0.997903256
-50,151,龙头后第151节,-4.094201726,-6.833940630,-0.851026930,0.520325224,0.997489435
-50,201,龙头后第201节,0.313222845,8.673505200,0.996225307,-0.044228537,0.997206611
-50,223,龙尾后把手,7.250746809,-5.288956794,-0.594034209,-0.800842729,0.997108679
0,0,龙头前把手,4.456399987,-0.624899315,-0.154643159,-0.987970391,1.000000000
0,1,龙头后第1节,3.980992349,2.195311241,0.468835347,-0.882869570,0.999632563
0,51,龙头后第51节,-3.278845095,-4.670244518,-0.809187197,0.583438326,0.997589194
0,101,龙头后第101节,1.300890203,-6.538185906,-0.979524572,-0.183953135,0.996647953
0,151,龙头后第151节,-4.834369419,-5.739244763,-0.755673438,0.648987948,0.996106270
0,201,龙头后第201节,-2.931829285,7.718757539,0.933905084,0.345467369,0.995754191
0,223,龙尾后把手,8.563850086,-0.233797485,-0.035508805,-0.995002114,0.995635517
50,0,龙头前把手,-2.180758806,-4.545596217,0.895361243,-0.445340594,1.000000000
50,1,龙头后第1节,-4.273404502,-2.596126034,0.507005454,-0.862218512,1.000237618
50,51,龙头后第51节,2.098894442,4.585396655,0.809411340,-0.384521552,0.896104649
50,101,龙头后第101节,-5.865936736,-1.705380797,-0.239689434,0.862110752,0.894810579
50,151,龙头后第151节,-6.650867748,-2.226608666,-0.275169334,0.850752236,0.894146257
50,201,龙头后第201节,-3.593596075,6.938692965,0.797363599,0.403714883,0.893741806
50,223,龙尾后把手,7.718508124,2.589265521,0.276726429,-0.849683049,0.893609982
100,0,龙头前把手,3.087434559,4.802410753,-0.834300065,0.551310622,1.000000000
100,1,龙头后第1节,5.001317439,2.677169044,-0.460805422,0.887660600,1.000141479
100,51,龙头后第51节,-4.487787005,0.380899453,-0.100664152,-0.997186299,1.002254352
100,101,龙头后第101节,2.508890879,4.883965215,0.824901026,-0.437472965,0.933726030
100,151,龙头后第151节,-4.570808091,4.597382465,0.668680825,0.650253997,0.932718771
100,201,龙头后第201节,-1.309611121,7.223873338,0.918789676,0.157304957,0.932158419
100,223,龙尾后把手,7.330376923,2.320869730,0.273005853,-0.891101125,0.931983589
