time_s,global_margin_m,collision_flag,witness_pair,minimum_speed_denominator,max_handle_speed_m_per_s
-100,0.0305547291554,0,1-25,1.63394721083,1
-99,0.0316034324801,0,1-25,1.63388116623,1
-98,0.0335546334123,0,1-25,1.63381457603,1
-97,0.0364185223667,0,1-25,1.63374743344,1
-96,0.0402052979322,0,1-25,1.63367973154,1
-95,0.0449251628342,0,1-25,1.63361146334,1
-94,0.0505883197105,0,1-25,1.63354262168,1
-93,0.0549309322907,0,5-29,1.63347319933,1
-92,0.0546554766141,0,6-30,1.63340318889,1
-91,0.054759796943,0,7-31,1.63333258287,1
-90,0.048845197827,0,1-22,1.63326137363,1
-89,0.0426801551804,0,1-22,1.63318955342,1
-88,0.0374456459933,0,1-22,1.63311711433,1
-87,0.0331540031137,0,1-22,1.63304404834,1
-86,0.0298176059274,0,1-22,1.63297034727,1
-85,0.0274488763164,0,1-22,1.6328960028,1
-84,0.0260602743938,0,1-22,1.63282100649,1
-83,0.0256642940075,0,1-22,1.63274534971,1
-82,0.0262734580041,0,1-22,1.6326690237,1
-81,0.026368970146,0,1-24,1.63259201955,1
-80,0.0254000205063,0,1-24,1.63251432819,1
-79,0.0254359050341,0,1-24,1.63243594036,1
-78,0.0264892915943,0,1-24,1.63235684668,1
-77,0.0285728701316,0,1-24,1.63227703755,1
-76,0.0316993472145,0,1-24,1.63219650323,1
-75,0.0358814402981,0,1-24,1.6321152338,1
-74,0.0411318716966,0,1-24,1.63203321913,1
-73,0.0474633622529,0,1-24,1.63195044895,1
-72,0.0507302176164,0,5-28,1.63186691276,1
-71,0.0505142060848,0,6-29,1.63178259988,1
-70,0.0486167070833,0,1-21,1.63169749942,1
-69,0.0413095706821,0,1-21,1.63161160031,1
-68,0.0350591725509,0,1-21,1.63152489126,1
-67,0.0298809935051,0,1-21,1.63143736074,1
-66,0.0257905828342,0,1-21,1.63134899704,1
-65,0.0228035524246,0,1-21,1.63125978821,1
-64,0.0209355705222,0,1-21,1.63116972206,1
-63,0.0202023551212,0,1-21,1.63107878617,1
-62,0.0206196669599,0,1-21,1.6309869679,1
-61,0.0213462887535,0,1-23,1.63089425434,1
-60,0.020029838392,0,1-23,1.63080063233,1
-59,0.0198639849154,0,1-23,1.63070608846,1
-58,0.0208646798966,0,1-23,1.63061060905,1
-57,0.0230479068247,0,1-23,1.63051418013,1
